Age,Annual_Income,Monthly_Expenses,Savings_Rate,Debt_to_Income_Ratio,Current_Investments_Value,Total_Loan_Amount,Avg_Credit_Score,Inflation_Rate,Interest_Rate,Years_of_Employment,Job_Stability_Score,Emergency_Fund_Value,Retirement_Fund_Contribution,Customer_Segment,Future_Balance
42.0,531698.07,30890.32,0.29,0.49,1833043.41,508861.17,646.0,5.78,7.56,3.5,0.13,70378.07,38594.09,Gold,2013317.47
21.0,746962.04,34629.34,0.39,0.22,2815610.1,316605.1,668.0,6.89,6.07,4.3,0.26,136990.94,,Bronze,3386573.53
23.0,1250864.51,66927.36,0.54,0.28,2408936.28,761647.57,603.0,4.83,7.38,10.8,0.4,164481.23,163057.2,Gold,3433617.45
34.0,915080.01,53593.54,0.47,0.3,2869237.59,256169.45,672.0,4.03,7.84,1.4,0.0,248824.31,66615.77,Bronze,3551547.1
30.0,585764.38,23019.11,0.09,0.32,2269571.13,,676.0,5.24,6.81,12.4,0.52,202794.98,62841.22,Gold,2786667.12
43.0,1081086.61,43400.85,0.22,0.18,1302161.04,1007993.07,665.0,6.85,5.48,6.9,0.26,,127075.3,Silver,1795335.03
31.0,676188.48,26894.13,0.16,0.28,1232093.76,934938.71,620.0,5.66,5.88,1.5,0.12,219559.72,46811.12,Silver,1464872.4
26.0,1844944.92,109235.05,0.26,0.42,4863777.13,837503.62,686.0,5.4,6.87,6.7,0.24,231994.73,185661.98,Silver,5748958.52
55.0,1669586.63,68497.88,0.42,0.4,2644703.37,652677.56,602.0,6.83,6.93,14.5,0.46,145784.21,242559.39,Silver,3719494.5
38.0,1146000.96,48163.23,0.04,0.17,2075141.42,1048182.54,741.0,7.24,9.39,4.8,0.29,354761.33,120846.24,Silver,2466942.55
41.0,1551220.7,74999.48,0.3,0.72,3602785.08,632499.93,574.0,7.07,6.06,3.4,0.01,105199.82,156181.45,Gold,4082640.61
26.0,923629.76,42926.18,0.22,0.43,3194494.24,343762.64,612.0,5.01,9.17,13.1,0.56,162901.17,127580.86,Gold,3812150.43
35.0,1222397.97,73721.88,0.25,0.1,1923641.63,812187.18,730.0,6.35,7.04,9.8,0.28,83161.37,181946.65,Silver,2503712.63
,1625357.19,91651.82,0.1,0.27,4040218.02,227655.47,675.0,6.34,7.37,6.3,0.32,280062.18,231131.12,Silver,4807880.24
,992864.54,51225.15,0.04,0.52,2825825.8,426248.69,656.0,10.0,5.88,4.3,0.23,122650.13,87429.22,Gold,3228138.04
,812665.75,40676.52,0.04,0.1,2715782.06,999821.96,664.0,4.72,9.11,12.4,0.5,128727.81,45282.67,Bronze,2869040.26
34.0,455113.11,19017.16,0.19,0.14,1595257.33,997581.66,742.0,4.6,9.93,2.7,0.06,138906.22,54476.01,Gold,1981466.59
37.0,870564.07,45414.74,0.5,0.38,2635918.29,495063.17,718.0,3.49,7.88,6.2,0.26,379244.54,95598.05,Gold,3288432.95
34.0,1251081.98,66040.91,0.04,0.72,1046056.81,324143.97,682.0,5.48,6.87,10.5,0.43,472691.57,151797.5,Silver,1441399.11
59.0,,,0.45,0.67,3487862.21,1033927.63,634.0,5.58,7.06,10.8,0.23,275119.57,128464.94,Silver,4280139.61
40.0,1101183.5,38114.68,0.32,0.59,1614466.62,,690.0,6.19,4.78,3.0,0.16,197266.83,83178.89,Silver,2138795.73
29.0,724785.05,46271.87,0.16,0.49,1887286.45,337804.04,618.0,6.82,5.07,,,112075.79,104894.33,Gold,2199653.72
48.0,408162.81,21820.15,0.31,0.29,1508747.18,1394187.35,,5.73,9.53,13.2,0.26,325308.65,34714.06,Bronze,1788746.59
28.0,738269.34,41833.07,0.23,0.69,2148700.74,828213.58,631.0,5.23,5.39,6.2,0.39,376224.25,56424.26,Bronze,2452928.54
42.0,796842.32,25737.55,0.03,0.25,2223796.22,736944.28,679.0,5.88,6.62,10.2,0.47,96907.24,55475.81,Gold,2557725.94
21.0,794110.94,40253.99,0.52,0.16,2605480.79,615036.61,708.0,6.54,9.78,2.7,0.04,208298.36,101763.45,Silver,3286725.22
27.0,1152648.14,65753.29,0.3,0.46,3908083.53,723472.44,671.0,5.43,,2.0,0.3,398502.99,60988.08,Silver,4622605.19
42.0,1991543.66,81651.29,0.2,0.15,2867530.23,595113.32,709.0,4.49,6.75,11.0,0.4,126037.76,210384.21,Silver,3579436.36
47.0,945587.52,44934.22,0.2,0.24,1270612.06,1284380.64,627.0,6.11,6.41,6.5,0.21,142129.73,75631.46,Silver,1646978.54
42.0,825262.94,30176.28,0.09,0.46,1922027.46,1067663.41,640.0,,6.97,9.4,0.18,198645.59,75374.81,Silver,2285550.06
39.0,811355.28,37588.25,0.12,0.27,1918356.35,1169790.65,674.0,5.98,8.14,13.9,0.64,100868.18,53565.39,Gold,2143897.83
37.0,945911.18,57728.09,0.13,0.06,1321835.25,1611153.67,667.0,5.68,7.54,4.1,0.38,115289.36,104363.8,Silver,1597895.34
25.0,646179.45,33730.84,0.55,0.16,763083.67,1901605.42,670.0,5.43,7.28,9.2,0.32,109572.83,86474.43,Silver,1131329.77
33.0,944328.59,,0.13,,1799730.49,1443298.38,582.0,5.37,6.02,12.8,0.27,169668.36,105965.87,Silver,2199343.97
,1077845.8,64597.96,0.15,0.25,4128656.41,584748.44,,5.86,7.54,0.3,0.03,343230.62,88740.49,Gold,5056218.09
51.0,978743.09,60508.27,0.35,0.34,1899567.69,1820781.06,609.0,5.13,6.12,6.5,0.32,99984.66,,Gold,2501151.89
43.0,1080751.1,61914.42,0.22,0.58,1291502.79,542083.04,716.0,5.72,9.15,11.9,0.46,113036.03,75688.54,Silver,1679872.2
22.0,1070513.59,33165.02,0.05,0.24,2093925.4,519868.3,685.0,,9.34,6.2,0.21,295362.36,159454.88,Silver,2548478.35
43.0,443029.38,26468.81,0.33,0.32,731543.49,863652.44,706.0,7.43,7.39,13.4,0.26,166041.33,30308.71,Gold,909365.1
36.0,1161122.89,39716.79,0.24,0.31,2551706.73,691448.92,703.0,5.05,8.5,10.7,0.28,458515.12,127160.78,Gold,3227670.3
33.0,688137.6,26650.45,0.12,0.29,1695669.84,1146783.92,647.0,5.23,6.56,2.9,0.22,,52502.18,Silver,1756130.61
46.0,580598.29,21948.01,0.55,0.21,2122492.17,2091899.18,631.0,7.04,6.97,13.4,0.38,87313.29,,Silver,2630603.71
50.0,578601.53,27543.08,0.25,0.4,687685.88,1317917.68,622.0,5.45,6.54,10.2,0.18,336029.89,84194.42,Gold,1029502.47
49.0,1070425.39,52116.6,0.14,0.89,2837922.96,1409272.06,597.0,6.54,7.69,,0.56,290569.34,138717.9,Silver,3165492.8
32.0,823336.34,40162.78,0.21,0.46,777999.56,326423.4,671.0,4.86,8.04,14.8,0.61,287357.31,88420.17,Bronze,1200057.65
37.0,459255.75,19626.03,0.32,0.58,683362.69,601164.28,649.0,7.94,6.38,5.0,0.08,76613.53,26888.2,Silver,761909.98
43.0,1089647.89,47860.63,0.17,0.3,2363025.11,545881.37,665.0,5.08,8.23,5.8,,274802.57,59352.4,Gold,3020968.54
50.0,506007.51,24158.04,0.4,0.23,2079317.31,675591.75,655.0,,6.06,10.3,0.52,159507.73,54622.76,Gold,2380045.41
35.0,951769.9,55315.1,0.13,0.32,2262613.84,1542586.07,682.0,7.08,6.1,6.4,0.12,403977.0,73064.68,Silver,2845604.43
38.0,990088.5,,0.13,0.13,2808127.47,533009.65,,7.25,6.95,5.9,0.33,137966.62,68539.68,Gold,3383982.94
29.0,1282575.69,43835.03,0.2,0.32,1664307.38,855463.44,608.0,,9.29,5.4,0.17,205107.4,176472.83,Gold,2371072.0
,,64539.06,0.27,0.64,5000000.0,2060568.32,695.0,6.62,6.75,9.2,0.23,,139461.38,Silver,5794243.06
48.0,521403.51,23026.55,0.4,0.49,966075.83,1061934.2,667.0,5.34,7.88,5.1,0.24,145468.41,38091.83,Silver,1230409.35
54.0,881306.28,40292.06,0.29,0.17,1419756.88,872913.53,662.0,,9.08,8.7,0.22,96878.08,116229.37,Silver,1783878.66
39.0,805820.2,37849.09,0.24,0.31,782392.1,610539.12,661.0,5.04,8.44,5.7,0.09,200063.21,99450.1,Silver,1133441.28
50.0,1070514.48,46156.03,0.3,0.58,3225924.93,,562.0,6.64,6.97,0.9,0.19,138932.53,142700.96,Silver,3608055.97
44.0,981088.11,38891.1,,,1896630.3,714626.9,663.0,5.01,6.8,14.2,0.46,828780.84,140985.24,Silver,2618688.44
34.0,781625.92,34458.98,0.01,0.42,2616638.19,542965.45,632.0,4.66,6.04,4.4,0.29,87716.65,66124.14,Silver,3000485.86
44.0,754483.86,47154.06,0.17,0.52,2057180.52,337143.76,681.0,5.56,7.28,6.5,,543940.0,92771.03,Gold,2663781.94
55.0,575831.12,27147.9,0.44,0.03,2166924.1,273617.17,649.0,6.36,4.09,6.4,0.14,168175.1,70907.45,Silver,2788241.52
40.0,1336139.01,73698.69,0.35,0.06,,867319.88,680.0,6.13,8.99,7.5,0.32,310715.52,152492.18,Bronze,5336543.57
56.0,1081469.92,60605.02,0.17,0.21,2630397.23,712898.52,641.0,6.51,7.53,9.7,0.18,108497.18,107894.99,Silver,3199142.85
21.0,1299197.5,36526.25,0.18,0.52,2938013.89,707712.15,,5.83,4.28,7.8,0.49,,67433.42,Gold,3508241.32
48.0,794915.89,52731.63,0.45,0.23,1735676.73,1683149.02,741.0,5.43,7.1,6.5,0.2,197175.32,76664.37,Gold,2238962.27
41.0,692051.64,40255.02,0.4,0.28,2154839.55,2560489.69,680.0,5.37,6.2,0.7,0.16,189765.84,74720.89,Silver,2588094.52
37.0,584682.37,32641.06,0.4,0.15,2076632.89,836602.92,684.0,6.53,5.82,6.0,0.16,1000000.0,68465.39,Bronze,2839120.02
41.0,1038945.77,43429.6,0.11,0.38,1645495.31,705605.98,,,5.71,6.1,0.26,262067.21,74939.96,Silver,2103563.78
21.0,593761.35,31478.83,0.58,0.35,722184.77,1240742.34,642.0,,7.15,12.9,0.24,,48007.72,Bronze,1008551.63
38.0,18853334.7,335844.7,0.16,2.0,1951622.61,1237931.72,665.0,5.88,8.51,,0.03,,249047.38,Gold,2496619.63
,533435.27,17587.29,0.18,0.08,2183013.73,1057606.17,707.0,4.62,5.26,10.6,0.41,209650.35,77322.26,Gold,2611555.99
55.0,1004111.96,61030.22,0.54,0.24,3078923.84,380679.65,692.0,6.26,10.72,,0.19,289829.89,139663.47,Bronze,4213221.06
35.0,1684352.75,98537.08,0.41,0.66,1595249.1,685470.14,642.0,7.52,8.75,,0.27,153268.41,191859.79,Silver,2225044.79
32.0,1143707.74,41073.94,0.34,0.16,1250007.48,712100.3,644.0,6.9,9.73,17.4,0.64,183620.03,147400.23,Gold,1922407.7
35.0,965517.52,53685.29,0.2,0.21,991460.62,1369325.11,736.0,7.76,7.62,14.8,0.56,113326.77,131811.03,Gold,1466927.26
49.0,610941.56,34994.95,0.66,0.17,1289713.8,866818.42,713.0,,5.44,9.6,0.38,172226.76,67713.15,Silver,1887351.17
43.0,517850.76,20528.17,0.31,0.34,771562.37,1024268.15,649.0,5.88,6.9,5.4,0.16,,74962.98,Silver,1156043.17
35.0,1224655.44,,0.19,0.09,2116448.02,738401.0,670.0,7.78,6.71,1.9,0.09,192922.51,,Bronze,2589091.39
45.0,1643944.24,70548.56,0.06,0.35,3156526.23,1614638.88,619.0,5.71,7.56,6.6,0.34,212543.63,184664.41,Silver,3594176.49
41.0,755103.46,42945.47,0.02,0.45,2070827.39,1659244.13,636.0,6.54,6.32,15.6,0.41,106755.12,54619.06,Silver,2317177.44
50.0,570646.63,33614.49,0.09,0.62,2158027.84,678324.2,657.0,6.65,7.61,12.6,0.5,279234.63,51382.76,Gold,2644634.58
33.0,336678.0,16001.71,0.52,0.66,1321192.18,1766985.92,,6.88,4.9,8.1,0.56,252322.68,29580.01,Silver,1528980.3
37.0,607947.68,31674.03,0.08,,1043482.35,559820.21,694.0,6.07,6.74,9.6,0.11,117076.78,33308.12,Gold,1195746.86
36.0,859999.69,45455.1,0.32,0.47,2497864.59,1223399.77,712.0,4.05,7.04,4.8,0.13,131521.09,81020.98,Bronze,2889797.09
25.0,1706234.3,88099.45,0.14,0.11,4228274.35,1137517.46,746.0,6.77,6.03,9.8,0.31,268745.35,164360.47,Gold,4978881.53
43.0,1178088.21,40859.65,0.2,,3318394.45,698968.54,641.0,6.48,8.26,7.0,0.31,155473.06,137353.68,Gold,3822748.2
43.0,1016813.43,46572.74,0.06,0.28,2502224.33,626168.61,662.0,5.99,6.97,7.2,0.37,175622.22,89440.6,Silver,3122712.21
40.0,766892.7,46956.29,0.63,0.12,1340807.76,787339.21,696.0,5.35,7.01,7.8,0.28,202356.32,89480.65,Gold,1961288.45
38.0,712748.4,28834.93,0.6,0.32,947622.56,1253707.44,704.0,5.53,5.71,2.8,0.2,219198.37,48854.4,Bronze,1473084.54
26.0,1579168.63,67123.3,0.09,0.16,4966251.84,853196.84,665.0,4.86,6.32,10.3,0.34,143159.64,83733.4,Bronze,5562260.96
36.0,975246.42,54772.62,0.17,0.08,2981276.47,1563238.98,729.0,5.16,8.47,6.8,0.1,181093.83,103026.48,Bronze,3443739.27
37.0,388135.49,19362.83,0.26,0.55,,525346.82,613.0,6.05,6.15,9.5,0.43,699288.3,29621.78,Silver,1500674.64
32.0,687442.99,43781.79,0.12,0.03,1627175.8,1450584.64,683.0,7.54,6.61,11.5,0.44,148077.51,45442.21,Gold,1842700.9
38.0,638491.49,30279.24,0.08,0.09,762299.87,231686.44,687.0,7.61,9.11,1.8,0.03,183278.55,77457.76,Silver,1158292.75
,723347.08,23166.74,0.32,0.31,,818957.49,577.0,6.02,8.62,2.5,,93414.96,104778.55,Silver,2696415.28
59.0,1127275.6,43625.34,0.29,0.48,2883109.54,817496.57,652.0,7.79,4.36,7.1,0.28,447194.83,133797.55,Silver,3792853.31
42.0,862139.26,29308.85,0.45,0.19,2543037.13,354076.26,678.0,5.28,7.7,,0.54,134371.31,115059.35,Silver,3185145.05
,872749.52,32445.55,,0.24,1528702.2,1432305.14,673.0,6.64,7.01,6.3,0.32,346303.76,129851.13,Silver,2190963.22
39.0,1522005.31,78055.0,0.1,0.21,1807407.54,563399.72,718.0,6.11,7.4,5.1,0.14,298071.6,151933.0,Bronze,2464150.85
21.0,681168.92,24092.71,0.49,0.22,2194885.09,,,6.02,5.16,0.1,0.2,268332.77,69388.74,Gold,2764072.42
40.0,1897086.51,107539.49,0.17,0.08,4867869.53,372649.77,691.0,5.93,7.13,5.1,,186981.94,143029.75,Silver,5642878.84
41.0,688057.03,37382.82,0.46,0.12,1577549.37,741249.18,640.0,5.88,,14.3,0.64,134938.66,76417.06,Bronze,2122065.4
65.0,932691.08,43578.6,0.22,,2087921.98,431399.83,641.0,5.01,7.27,11.2,0.39,160073.65,119943.92,Silver,2629601.75
,804252.54,,0.09,0.19,2258955.49,1286431.58,684.0,6.7,7.83,5.9,0.29,303259.85,64119.52,Gold,2659391.17
43.0,945545.88,53447.06,0.3,0.34,2080343.56,689024.76,694.0,4.98,6.33,17.1,0.51,595240.92,76270.25,Bronze,3000088.06
40.0,1075167.31,44784.32,0.09,0.4,2008659.61,508100.66,777.0,6.3,9.26,12.0,0.48,154154.71,127203.07,Gold,2509462.71
28.0,,35635.68,,0.17,3304102.28,1175225.83,723.0,5.97,5.29,1.1,0.05,170482.48,153332.47,Gold,4195784.78
51.0,665905.54,,,,1397643.2,767403.48,704.0,5.54,6.39,6.0,0.28,208304.4,84765.01,Silver,1811920.33
48.0,574344.21,29044.7,0.29,0.5,1133342.45,900010.48,653.0,5.79,5.77,5.3,0.32,168107.2,84037.41,Gold,1270643.87
48.0,,70896.33,0.15,0.2,5000000.0,982232.19,730.0,6.03,5.03,5.3,0.18,168619.17,243557.88,Silver,5998257.77
31.0,741593.34,34222.9,,0.13,1018212.98,710386.71,768.0,5.99,7.93,12.0,0.57,587436.24,57274.87,Silver,1611127.3
54.0,1190441.75,58027.97,0.29,0.37,3311640.16,494036.44,699.0,5.65,4.58,0.5,0.01,271955.04,130421.28,Bronze,4133524.17
26.0,473114.88,23472.78,0.17,0.13,868354.13,826277.86,669.0,,6.09,5.4,,320509.73,70528.62,Silver,1156979.48
46.0,804764.49,45103.57,0.38,0.38,1806371.73,783854.21,,5.37,6.35,9.3,0.2,277610.11,106821.1,Gold,2192411.15
62.0,855353.65,44376.31,,0.18,1224836.43,1726379.69,716.0,7.68,6.6,4.8,0.11,271151.1,89362.75,Silver,1537462.77
30.0,1087373.89,57025.48,0.33,0.08,4178986.54,,719.0,6.63,9.03,2.2,0.16,71867.27,157567.05,Silver,4999602.83
34.0,302903.15,15423.66,0.19,0.12,2618894.95,324161.48,624.0,6.89,9.67,0.0,0.22,268283.37,22338.33,Gold,3049167.43
41.0,961842.78,56476.55,0.04,0.12,1356307.47,338515.9,657.0,6.8,9.35,12.5,0.18,184774.33,125395.96,Silver,1729884.89
,568214.04,21235.22,0.41,0.19,1943355.14,3046133.09,636.0,5.48,7.31,4.0,0.3,167906.28,54072.51,Bronze,2230145.81
24.0,1024677.34,50235.38,0.16,0.25,1519867.79,846251.58,609.0,6.39,8.54,,0.21,149041.64,149264.4,Silver,1773494.94
41.0,594584.64,26984.59,0.15,0.21,1449461.67,,673.0,3.6,5.99,9.6,0.14,610752.61,35004.39,Silver,1883690.91
,639189.96,36444.32,0.38,0.21,718833.3,1316493.04,694.0,6.88,7.56,10.4,0.44,161506.06,81217.2,Silver,960056.09
45.0,806693.44,27313.32,0.09,0.07,1572890.12,705640.21,,6.19,7.34,6.7,0.31,276433.98,118967.47,Silver,2070568.35
31.0,,17447.9,0.51,,938172.29,668053.82,,6.18,6.88,5.7,0.16,253662.91,37037.49,Bronze,1204046.66
55.0,744104.13,40624.16,,,2135984.48,349077.05,565.0,5.34,8.26,5.5,0.21,270441.67,105388.44,Silver,2668444.56
32.0,558382.64,31550.36,0.18,0.59,1736207.18,1548739.17,600.0,5.95,7.85,,0.27,232694.76,34105.85,Silver,2095453.66
37.0,432302.94,23189.58,0.26,0.53,693735.55,1544774.94,629.0,6.33,6.39,4.2,0.13,403571.98,38616.06,Bronze,786460.14
48.0,1352320.91,67731.68,0.3,0.62,3740148.65,477791.02,630.0,8.07,6.57,9.9,0.28,275945.8,146109.79,Silver,4388391.77
28.0,535914.85,29617.03,0.26,0.18,819970.81,477204.48,724.0,4.35,7.04,6.9,0.32,,40056.64,Gold,1113937.75
42.0,,31091.67,0.4,0.13,3205326.19,664438.18,671.0,6.65,7.82,13.1,0.43,,113550.99,Bronze,3988608.81
53.0,1216278.66,42921.48,0.4,0.1,1902877.78,945806.92,728.0,6.08,7.35,12.9,0.41,413567.63,117098.77,Gold,2923799.12
24.0,,47698.82,0.18,0.13,2685554.75,515661.01,701.0,4.92,5.49,11.4,0.61,,82042.56,Bronze,3190631.04
42.0,646988.42,34697.14,0.49,0.3,1662207.36,596815.63,683.0,7.87,5.9,14.7,0.4,291400.29,54158.42,Gold,2138411.42
43.0,985244.66,43494.95,0.1,0.16,2966962.23,1019521.88,617.0,5.65,7.97,7.4,0.26,128418.4,51908.5,Silver,3444521.91
48.0,1407497.09,77453.01,0.2,0.21,2526594.92,872211.09,672.0,6.93,6.28,8.5,0.34,274591.18,101068.74,Silver,3098941.87
28.0,563782.57,30549.08,0.23,0.31,1988561.67,1312589.22,707.0,6.98,7.22,5.8,0.29,203699.08,73690.26,Silver,2496167.23
27.0,847537.96,33620.37,0.34,0.37,1872018.09,,592.0,4.22,7.55,3.1,,203907.63,98522.13,Gold,2229046.88
45.0,450067.21,19441.22,,0.23,1582458.78,600122.93,718.0,5.41,4.92,15.8,0.55,135361.47,43092.7,Silver,1935403.54
43.0,769017.99,32912.35,0.37,,1560938.72,395103.67,760.0,5.28,7.19,4.4,0.0,87447.29,108767.19,Silver,1866595.94
43.0,912398.31,53735.07,0.21,0.24,2056858.22,692053.98,609.0,6.05,4.86,,0.47,124569.52,76284.17,Gold,2411001.56
43.0,639409.38,20135.85,0.02,0.36,1581581.33,,607.0,4.43,7.04,4.7,0.16,531652.86,73956.1,Silver,2233068.74
33.0,,29121.37,0.16,0.47,2940559.95,436899.13,676.0,5.13,6.89,18.3,0.48,237036.24,67452.53,Silver,3387927.38
42.0,512399.22,33242.81,0.14,0.1,1313654.35,640944.14,698.0,4.71,6.36,10.1,0.48,201074.23,53759.16,Silver,1622515.29
43.0,928180.49,27161.86,0.13,0.15,2946497.4,267691.41,633.0,5.73,5.88,3.6,0.2,209207.09,46590.98,Bronze,3337841.48
33.0,1372888.87,67675.08,0.78,0.41,2821254.61,543671.25,709.0,4.24,6.95,8.2,0.38,167396.7,95769.08,Silver,3679063.48
59.0,580295.36,21285.61,0.69,0.29,1854095.58,1679503.39,642.0,6.71,6.73,8.5,0.37,114710.65,48088.09,Gold,2249077.89
45.0,701573.77,37705.3,0.1,0.2,1071373.94,,619.0,4.95,4.17,18.2,0.54,104824.1,75850.79,Bronze,1275151.84
28.0,,47835.93,0.46,0.58,,837853.43,628.0,6.98,6.16,10.2,0.4,110876.39,89683.34,Silver,2276097.53
47.0,1461518.22,45638.7,0.48,0.65,4377649.61,858165.07,690.0,5.95,6.99,0.0,0.16,,83927.48,Silver,5118811.39
,495277.81,28096.22,0.1,0.12,1339363.15,948189.76,661.0,3.97,6.7,2.3,0.23,137162.62,68642.93,Silver,1635505.34
48.0,841243.26,46366.72,,0.52,2335663.68,1733295.79,663.0,6.66,8.29,2.9,0.2,234236.93,85244.1,Gold,2855084.34
52.0,1007923.04,52594.06,0.18,0.61,1515342.66,,582.0,4.97,8.15,12.1,0.48,225922.1,118476.7,Gold,1901139.09
32.0,863999.51,48015.14,0.23,0.18,2612322.48,1444220.76,739.0,4.64,5.75,0.5,0.15,175968.78,115738.59,Silver,3114158.81
50.0,334179.39,17476.5,0.45,0.34,1509089.95,1091444.53,613.0,6.64,8.21,14.1,0.4,524037.45,32112.97,Silver,2000894.18
44.0,1099741.87,54479.14,0.07,0.41,2978645.01,686233.02,646.0,7.57,5.76,15.5,0.64,86062.07,134791.16,Silver,3298575.67
48.0,1652640.03,80881.74,0.2,0.47,4444135.54,635954.75,719.0,5.72,4.0,9.4,0.32,180408.27,139423.36,Silver,5098806.8
59.0,942993.57,48585.19,0.18,0.39,1905084.03,809271.35,603.0,5.8,6.03,10.9,0.25,296530.9,66418.72,Silver,2400763.7
38.0,595828.18,32199.07,0.1,0.1,1093504.91,985552.66,677.0,7.21,5.21,7.1,0.29,102491.7,88415.12,Silver,1281399.64
32.0,732998.65,35467.2,0.31,0.47,1473103.59,693312.37,629.0,8.19,5.44,12.5,0.49,403515.11,81547.96,Bronze,1951698.79
31.0,1826871.08,61730.82,0.47,0.47,,791304.35,685.0,5.66,7.8,6.5,0.14,142912.38,144621.77,Gold,4643357.18
32.0,1295147.39,43265.8,0.3,,3576756.88,623191.54,649.0,7.61,7.04,16.3,0.67,152511.96,151659.67,Gold,4371606.78
39.0,1162589.83,46928.42,0.24,0.23,1940142.79,1216845.52,708.0,3.8,6.37,0.0,0.13,114607.77,92122.97,Silver,2384062.02
43.0,1037905.27,60893.29,0.08,0.63,1802940.45,679685.5,610.0,5.48,5.86,8.5,0.22,84277.56,154969.01,Silver,2032526.98
43.0,690861.88,41432.76,0.14,0.6,2204563.77,1728495.71,633.0,4.86,9.84,3.4,0.28,,70175.58,Silver,2544014.17
48.0,830614.92,41121.14,0.5,0.2,952385.47,426186.73,751.0,6.49,8.32,1.7,0.18,133933.85,93780.99,Gold,1355344.77
40.0,872380.49,34680.79,0.24,0.45,2744627.31,654134.51,647.0,6.2,6.28,8.4,0.32,468669.41,99961.46,Bronze,3362074.94
55.0,1121278.12,35996.54,0.14,0.62,1398856.81,514307.91,700.0,6.61,7.75,,0.29,306766.76,166530.9,Gold,1702226.21
37.0,,96154.78,0.37,0.13,4516730.32,1051927.01,707.0,6.66,9.65,1.8,0.26,192763.76,177717.14,Silver,5779692.27
65.0,1407724.74,,0.17,0.5,4517529.38,858391.57,688.0,6.62,9.56,14.7,0.65,186907.48,187647.3,Silver,5202878.69
46.0,510117.46,16719.37,0.14,0.26,2967945.35,479102.96,680.0,7.29,6.08,5.6,0.19,147131.19,45651.62,Silver,3421443.77
31.0,984361.05,53842.33,0.04,0.38,2216077.99,2147022.45,610.0,4.97,6.94,0.2,0.27,381291.43,94110.76,Silver,2640869.56
29.0,1208457.58,52121.34,0.31,0.21,1417106.81,1030095.41,573.0,5.53,8.4,11.3,0.33,359382.16,135532.27,Silver,2114652.51
45.0,1152788.3,44758.56,0.3,0.17,1294190.42,804298.24,636.0,,9.77,12.3,0.32,147499.09,59098.57,Silver,1757448.58
38.0,699734.7,42238.23,0.02,0.61,1523095.08,338744.63,663.0,5.87,8.37,13.8,0.58,239800.69,53932.93,Silver,1839752.54
47.0,2887188.44,136316.58,0.18,,4991678.18,1029857.73,597.0,5.69,6.58,15.2,0.49,518168.02,228881.7,Silver,6091456.98
45.0,539995.57,30982.97,0.06,0.39,1043039.43,289403.1,589.0,7.21,4.0,12.7,0.34,169554.28,46803.96,Bronze,1327171.59
39.0,583543.73,,0.18,0.72,1401241.03,,556.0,7.48,7.16,11.4,0.35,152055.58,70185.48,Gold,1810407.47
32.0,988148.31,,0.09,0.29,2337888.7,763595.21,759.0,6.9,,7.5,0.23,208198.28,84383.83,Silver,2688058.96
25.0,2098789.41,79232.93,0.12,0.14,1609637.51,785906.57,699.0,6.28,7.23,,0.35,205188.1,182359.23,Gold,2135318.81
36.0,644140.47,26033.1,0.51,0.22,,503231.0,725.0,5.08,6.96,13.4,0.47,259587.3,38016.25,Gold,2014705.99
49.0,809214.01,37156.28,0.22,0.27,1934095.8,1578939.95,652.0,4.46,8.0,0.0,0.0,96957.46,96079.81,Silver,2161159.52
